Key,Category,QuestionNumber,matchOrnomatch,Difficulty,verdict,ResponseTime,routineStart,routineStamp,routineEnd,Cat2FeedbackTime
1spl1,1,spl1,match,Easy,INCORRECT,6.01217080000788,1679398435.282747,"21/03/2023, 17:03:55",1679398441.2949178,
1spl2,1,spl2,nomatch,Easy,INCORRECT,11.550370100012517,1679398441.3770366,"21/03/2023, 17:04:01",1679398452.9274068,
1Item1,1,Item1,match,Easy,CORRECT,4.368150599999353,1679398452.9493132,"21/03/2023, 17:04:12",1679398457.317464,
1Item2,1,Item2,match,Easy,CORRECT,4.985561700013932,1679398457.3372295,"21/03/2023, 17:04:17",1679398462.322791,
1Item3,1,Item3,match,Easy,CORRECT,8.758593200007454,1679398462.3354895,"21/03/2023, 17:04:22",1679398471.0940826,
1Item4,1,Item4,match,Medium,CORRECT,13.3993569999584,1679398471.1139684,"21/03/2023, 17:04:31",1679398484.5133257,
1Item5,1,Item5,nomatch,Medium,CORRECT,11.75742410001112,1679398484.5338376,"21/03/2023, 17:04:44",1679398496.2912617,
1Item6,1,Item6,match,Medium,CORRECT,9.617155100044329,1679398496.312639,"21/03/2023, 17:04:56",1679398505.929794,
1Item7,1,Item7,match,Difficult,INCORRECT,25.46466400002828,1679398505.9425986,"21/03/2023, 17:05:05",1679398531.4072626,
1Item8,1,Item8,nomatch,Difficult,INCORRECT,20.09431949997088,1679398531.427278,"21/03/2023, 17:05:31",1679398551.5215976,
1Item9,1,Item9,match,Difficult,INCORRECT,12.081842500017956,1679398551.5388324,"21/03/2023, 17:05:51",1679398563.6206748,
1Item10,1,Item10,nomatch,Difficult,CORRECT,12.439942200027872,1679398563.6430836,"21/03/2023, 17:06:03",1679398576.0830257,
2spl1,2,spl1,match,Easy,CORRECT,8.097390300012194,1679398645.9119914,"21/03/2023, 17:07:25",1679398654.0093818,
2spl2,2,spl2,nomatch,Easy,CORRECT,7.603496199997608,1679398655.8340366,"21/03/2023, 17:07:35",1679398663.437533,
2Item1,2,Item1,match,Easy,CORRECT,5.606819299980998,1679398664.870709,"21/03/2023, 17:07:44",1679398670.4775283,1.1434167999541387
2Item2,2,Item2,match,Easy,CORRECT,5.615984899981413,1679398671.650956,"21/03/2023, 17:07:51",1679398677.2669408,0.9310918000410312
2Item3,2,Item3,match,Easy,CORRECT,8.541019099997357,1679398678.2294955,"21/03/2023, 17:07:58",1679398686.7705147,1.0355830999906177
2Item4,2,Item4,nomatch,Medium,INCORRECT,13.058565100014675,1679398687.838475,"21/03/2023, 17:08:07",1679398700.89704,2.649855700030457
2Item5,2,Item5,match,Medium,CORRECT,6.372439200000372,1679398703.5816534,"21/03/2023, 17:08:23",1679398709.9540925,1.171175600029528
2Item6,2,Item6,match,Medium,CORRECT,9.169460400007663,1679398711.1536062,"21/03/2023, 17:08:31",1679398720.3230665,1.0423660000087691
2Item7,2,Item7,match,Difficult,CORRECT,30.53480889997445,1679398721.3919263,"21/03/2023, 17:08:41",1679398751.9267352,1.3260336000239477
2Item8,2,Item8,nomatch,Difficult,INCORRECT,8.545494500023779,1679398753.2845616,"21/03/2023, 17:09:13",1679398761.8300562,4.813430699985474
2Item9,2,Item9,nomatch,Difficult,CORRECT,9.224156500014942,1679398766.6749976,"21/03/2023, 17:09:26",1679398775.8991542,1.2219893999863416
2Item10,2,Item10,match,Difficult,CORRECT,21.531886099954136,1679398777.1506944,"21/03/2023, 17:09:37",1679398798.6825805,1.0534580000094138
3spl1,3,spl1,match,Easy,CORRECT,5.121955099981278,1679398868.2208266,"21/03/2023, 17:11:08",1679398873.3427818,
3spl2,3,spl2,nomatch,Easy,CORRECT,5.678156700043473,1679398873.3679442,"21/03/2023, 17:11:13",1679398879.0461009,
3Item15,3,Item15,nomatch,Difficult,INCORRECT,11.514620299974922,1679398879.0644362,"21/03/2023, 17:11:19",1679398890.5790565,
3Item2,3,Item2,match,Easy,CORRECT,9.425652199948672,1679398890.598347,"21/03/2023, 17:11:30",1679398900.0239992,
3Item5,3,Item5,match,Easy,CORRECT,8.635667300026398,1679398900.0401485,"21/03/2023, 17:11:40",1679398908.6758158,
3Item12,3,Item12,match,Medium,INCORRECT,5.746948999993037,1679398908.6946032,"21/03/2023, 17:11:48",1679398914.4415522,
3Item6,3,Item6,match,Easy,CORRECT,5.70533389999764,1679398914.45903,"21/03/2023, 17:11:54",1679398920.164364,
3Item8,3,Item8,nomatch,Medium,INCORRECT,20.65720069996314,1679398920.1839628,"21/03/2023, 17:12:00",1679398940.8411636,
3Item7,3,Item7,match,Medium,CORRECT,10.305517100030556,1679398940.861718,"21/03/2023, 17:12:20",1679398951.1672351,
3Item9,3,Item9,nomatch,Medium,INCORRECT,14.916831900016405,1679398951.185628,"21/03/2023, 17:12:31",1679398966.10246,
3Item17,3,Item17,match,Difficult,CORRECT,4.0503771000076085,1679398966.1247413,"21/03/2023, 17:12:46",1679398970.1751184,
3Item19,3,Item19,nomatch,Difficult,INCORRECT,5.7498387999949045,1679398970.1982884,"21/03/2023, 17:12:50",1679398975.9481273,
3Item11,3,Item11,match,Medium,CORRECT,4.555186500016134,1679398975.9659495,"21/03/2023, 17:12:55",1679398980.521136,
3Item4,3,Item4,match,Easy,CORRECT,4.848660700023174,1679398980.5410068,"21/03/2023, 17:13:00",1679398985.3896675,
3Item13,3,Item13,match,Difficult,CORRECT,3.8755973000079393,1679398985.4085662,"21/03/2023, 17:13:05",1679398989.2841637,
3Item10,3,Item10,match,Medium,CORRECT,1.981106900027953,1679398989.3026023,"21/03/2023, 17:13:09",1679398991.2837093,
3Item14,3,Item14,match,Difficult,INCORRECT,5.469507400004659,1679398991.2950354,"21/03/2023, 17:13:11",1679398996.7645428,
3Item3,3,Item3,,,,3.0,1679398996.7645428,"21/03/2023, 07:43:16",1679398999.7645428,
